                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ª                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
çTRANSITO PESSJURI.CARGFICA DESENVOLVIMENTO        10/11/2014        09:16:58        - 1 -                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ç                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ç       CPF FILIAL CTRL NOME                                     DT FUND                VALOR RENDA CINDCD-COBR-RENEG CINDCD-COBR-RENEG HATULZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ç---------- ------ ---- ---------------------------------------- ---------- ----------------------- ----------------- ----------------- ----------                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç     34681      1    9 CONDOMINIO EDIFICIO RIBAMAR              01.01.1990                    1,00 0                 0                 24.09.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç    167146      1   26 SUSPENTEC COM REC PECAS P AUTOS          19.08.1994               10.000,00 0                 0                 25.04.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç    171640      1   64 ASSOCIACAO DOS FUNCIONARIOS DA MINASFORT 15.03.1993                  100,00 0                 0                 11.06.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç    191181      1   80 OTAVIANO SILVA MEIRA ME                  13.09.1994               25.000,00 0                 0                 15.09.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç    204282      1   49 OUROMAC COMERCIO DE PECAS E SERVICOS PAR 08.09.1994              100.000,00 0                 0                 06.02.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç    224177      1   71 MARCOS ARMANDO FANTI ME                  31.08.1994                2.000,00 0                 0                 22.05.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç    240620      1    6 MOTTA E CIA LTDA ME                      05.09.1994               10.000,00 0                 0                 28.04.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç    341741      1   36 NOITCA CURSOS LTDA                       24.02.1994               50.000,00 0                 0                 06.08.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç    398573      1   15 EMERSON SANTOS NASCIMENTO                20.01.1995               10.000,00 0                 0                 29.08.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç    427603      1   74 CONDOMINIO EDIFICIO BUSINESS PLACE IBIRA 30.04.1999                    1,00 0                 0                 18.07.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç    477335      1    3 FOTOMAR ARTIGOS FOTOGRAFICOS LTDA ME     09.02.1995                6.000,00 0                 0                 24.10.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç    564472      1   77 COND EDIF DONA MARY                      22.12.1970                5.000,00 0                 0                 23.10.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç    571716      1   49 ANTONIO DA SILVA MORAES ME               27.03.1995               10.000,00 0                 0                 05.11.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç    580933      1    3 HI TECH ENGENHARIA E SERVICOS LTDA       31.07.2002               50.000,00 0                 0                 18.08.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç    588421      1   85 LUFA PRODUTOS NATURAIS E COSMETICOS LTDA 10.03.1995               10.000,00 0                 0                 09.05.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç    595428      6   39 LUBRIJAU DERIVADOS DE PETROLEO LTDA      15.10.2003              350.000,00 0                 0                 27.05.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç    633090      1   58 CONSTRUTORA BERTOLINI LTDA               09.04.1995              300.000,00 0                 0                 25.09.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç    666084      1    5 RELOGIOS TAMAI LTDAEPP                   20.06.1995                8.000,00 0                 0                 10.07.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç    690849      2   15 KRUDYGU EVENTOS LTDA ME                  05.12.2011               70.000,00 0                 0                 04.04.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç    728433      1   68 B G DE MORAES ME                         26.07.1995               10.000,00 0                 0                 13.06.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç    797614      1   46 CLELIO TRANSPORTES LTDA                  10.08.1995               10.000,00 0                 0                 07.02.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç    850996      1   24 CENTRO ESPIRITA LEON DENIS               03.11.2005                    1,00 0                 0                 05.05.2010                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç    899586      1   78 FED.DAS ENT.CULTURAIS ITALO BRASILEIRAS  03.11.2005                    1,00 0                 0                 19.05.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç    994933      1   41 FARMACIA ITA COMERCIAL PRIMAVE           22.12.1995               20.000,00 0                 0                 03.02.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç   1042873      1   20 CENTERTEXTIL COM DE TECIDOS LTDA         01.02.1996               10.000,00 0                 0                 23.10.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç   1054665      1   40 PANIFICADORA E CONFEITARIA PIO X LTDA ME 23.02.1996               10.000,00 0                 0                 08.01.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç   1056196      1    7 CARLOS ROBSON AFONSO CALCADOS ME         09.02.1996                5.000,00 0                 0                 14.05.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç   1085404      1   98 G V PROPAGANDA E PUBLICIDADE LTDA        28.02.1996                7.000,00 0                 0                 23.06.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç   1114114      1   25 OPCAO PARK ESTACIONAMENTO E LAVAGEM DE A 15.03.1998                2.500,00 0                 0                 29.09.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç   1155220      1   57 G ALVES PINTO ME                         23.04.1996               10.000,00 0                 0                 04.07.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç   1161044      1   66 MAXINOVE INDUSTRIA E COMERCIO LTDA       18.04.1996               30.000,00 0                 0                 30.05.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç   1178397      1   79 RESTAURANTE PASTA GRILL LTDA             17.04.1996               50.000,00 0                 0                 13.05.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç   1209413      1   43 WELFARE IMP DE PROD MEDICO ODONTOLOGICOS 04.04.1996              300.000,00 0                 0                 07.11.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç   1245418      1   21 ALBERTINO ANTUNES ME                     31.05.1996                8.000,00 0                 0                 04.11.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç   1248391      1   20 CONDOMINIO EDIFICIO PIRAMIDE II          05.01.1995                    1,00 0                 0                 08.08.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ç   1287728      1    9 GUITEX INDUSTRIA E COMERCIO LTDA ME      01.06.1996               15.000,00 0                 0                 10.01.2014                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
