
                    J E S 2  J O B  L O G  --  S Y S T E M  A L 1 B  --  N O D E

07.28.20 JOB83346 ---- FRIDAY,    25 JUL 2014 ----
07.28.20 JOB83346  IRR010I  USERID PRODSTR  IS ASSIGNED TO THIS JOB.
07.28.21 JOB83346  ICH70001I PRODSTR  LAST ACCESS AT 07:28:14 ON FRIDAY, JULY 25
07.28.21 JOB83346  $HASP373 CLLP0140 STARTED - WLM INIT  - SRVCLASS BATCH_01 - S
07.28.21 JOB83346  IEF403I CLLP0140 - STARTED - TIME=07.28.21
07.28.21 JOB83346  +AUTOOPERATOR OVERINICIO CLLP0140 PR32
07.28.21 JOB83347  $HASP100 PLAN0276 ON INTRDR                            FROM J
07.28.21 JOB83347  IRR010I  USERID PRODSTR  IS ASSIGNED TO THIS JOB.
07.28.21 JOB83346  -                                                --TIMINGS (M
07.28.21 JOB83346  -JOBNAME  STEPNAME PROCSTEP    RC   EXCP   CONN    TCB    SRB
07.28.21 JOB83346  -CLLP0140 STEPCTM  CTMRDOVE    00     20      6    .00    .00
07.28.51 JOB83346  SVM4000I CLLP0140, STEP0, SAI, ATTEMPTING SPACSECR FOR AC.CLL
07.28.51 JOB83346  SVM4001I RECOVERY ATTEMPT FAILED TO PASS FLST/RLST CRITERIA
07.29.22 JOB83346  SVM4000I CLLP0140, STEP0, SAI, ATTEMPTING SPACSECR FOR AC.CLL
07.29.22 JOB83346  SVM4001I RECOVERY ATTEMPT FAILED TO PASS FLST/RLST CRITERIA
07.29.55 JOB83346  SVM4000I CLLP0140, STEP0, SAI, ATTEMPTING SPACSECR FOR AC.CLL
07.29.55 JOB83346  SVM4001I RECOVERY ATTEMPT FAILED TO PASS FLST/RLST CRITERIA
07.30.29 JOB83346  SVM4000I CLLP0140, STEP0, SAI, ATTEMPTING SPACSECR FOR AC.CLL
07.30.29 JOB83346  SVM4001I RECOVERY ATTEMPT FAILED TO PASS FLST/RLST CRITERIA
07.31.03 JOB83346  SVM4000I CLLP0140, STEP0, SAI, ATTEMPTING SPACSECR FOR AC.CLL
07.31.03 JOB83346  SVM4001I RECOVERY ATTEMPT FAILED TO PASS FLST/RLST CRITERIA
07.31.35 JOB83346  SVM4000I CLLP0140, STEP0, SAI, ATTEMPTING SPACSECR FOR AC.CLL
07.31.35 JOB83346  SVM4001I RECOVERY ATTEMPT FAILED TO PASS FLST/RLST CRITERIA
07.32.08 JOB83346  SVM4000I CLLP0140, STEP0, SAI, ATTEMPTING SPACSECR FOR AC.CLL
07.32.08 JOB83346  SVM4001I RECOVERY ATTEMPT FAILED TO PASS FLST/RLST CRITERIA
07.32.38 JOB83346  SVM4000I CLLP0140, STEP0, SAI, ATTEMPTING SPACSECR FOR AC.CLL
07.32.38 JOB83346  SVM4001I RECOVERY ATTEMPT FAILED TO PASS FLST/RLST CRITERIA
07.33.09 JOB83346  SVM4000I CLLP0140, STEP0, SAI, ATTEMPTING SPACSECR FOR AC.CLL
